Time,Router,Mechanisms,Type,Packets
25,R1,DeepAuC,CacheHits,1984
25,R1,DeepAuC,CacheMisses,646
25,R2,DeepAuC,CacheHits,980
25,R2,DeepAuC,CacheMisses,649
25,R3,DeepAuC,CacheHits,980
25,R3,DeepAuC,CacheMisses,649
25,R4,DeepAuC,CacheMisses,894
25,R5,DeepAuC,CacheMisses,894
25,R6,DeepAuC,CacheMisses,894
25,R7,DeepAuC,CacheMisses,894
25,R8,DeepAuC,CacheMisses,894
25,R9,DeepAuC,CacheMisses,894
25,R10,DeepAuC,CacheMisses,894
25,R11,DeepAuC,CacheMisses,894
25,R12,DeepAuC,CacheMisses,894
25,R13,DeepAuC,CacheMisses,894
25,R14,DeepAuC,CacheMisses,894
25,R15,DeepAuC,CacheMisses,894
25,R16,DeepAuC,CacheMisses,894
25,R17,DeepAuC,CacheMisses,894
25,R18,DeepAuC,CacheMisses,894
25,R19,DeepAuC,CacheMisses,894
25,R20,DeepAuC,CacheMisses,894
25,R21,DeepAuC,CacheMisses,894
25,R22,DeepAuC,CacheMisses,894
25,R23,DeepAuC,CacheMisses,894
26,R1,DeepAuC,CacheHits,1848
26,R1,DeepAuC,CacheMisses,667
26,R2,DeepAuC,CacheHits,928
26,R2,DeepAuC,CacheMisses,667
26,R3,DeepAuC,CacheHits,928
26,R3,DeepAuC,CacheMisses,667
26,R4,DeepAuC,CacheMisses,899
26,R5,DeepAuC,CacheMisses,898
26,R6,DeepAuC,CacheMisses,898
26,R7,DeepAuC,CacheMisses,898
26,R8,DeepAuC,CacheMisses,898
26,R9,DeepAuC,CacheMisses,898
26,R10,DeepAuC,CacheMisses,898
26,R11,DeepAuC,CacheMisses,899
26,R12,DeepAuC,CacheMisses,898
26,R13,DeepAuC,CacheMisses,898
26,R14,DeepAuC,CacheMisses,899
26,R15,DeepAuC,CacheMisses,899
26,R16,DeepAuC,CacheMisses,899
26,R17,DeepAuC,CacheMisses,898
26,R18,DeepAuC,CacheMisses,898
26,R19,DeepAuC,CacheMisses,898
26,R20,DeepAuC,CacheMisses,898
26,R21,DeepAuC,CacheMisses,898
26,R22,DeepAuC,CacheMisses,898
26,R23,DeepAuC,CacheMisses,898
27,R1,DeepAuC,CacheHits,32
27,R1,DeepAuC,CacheMisses,702
27,R2,DeepAuC,CacheHits,36
27,R2,DeepAuC,CacheMisses,700
27,R3,DeepAuC,CacheHits,36
27,R3,DeepAuC,CacheMisses,700
27,R4,DeepAuC,CacheMisses,709
27,R5,DeepAuC,CacheMisses,706
27,R6,DeepAuC,CacheMisses,705
27,R7,DeepAuC,CacheMisses,706
27,R8,DeepAuC,CacheMisses,705
27,R9,DeepAuC,CacheMisses,705
